,close,high,low,open,volume
2019-04-09,2967.51,2980.12,2948.31,2968.08,5080214200.0
2019-04-10,2979.1,2996.41,2941.35,2957.27,4869243800.0
2019-04-11,2928.43,3000.1,2920.19,2982.39,4281114400.0
2019-04-12,2920.52,2933.45,2903.27,2920.55,3252163300.0
2019-04-15,2924.93,2999.33,2924.6,2973.02,5843752800.0
2019-04-16,3023.03,3023.03,2909.66,2914.99,7076416300.0
2019-04-17,3017.42,3035.41,2996.76,3017.39,4996067500.0
2019-04-18,3004.92,3019.54,2993.27,3014.91,3967068400.0
2019-04-19,3042.43,3043.93,2989.55,3013.67,3994367200.0
2019-04-22,2970.49,3048.82,2962.36,3047.43,5675969700.0
2019-04-23,2978.85,3007.35,2964.98,2968.0,4106545600.0
2019-04-24,2974.85,3001.53,2933.53,2989.96,3542572900.0
2019-04-25,2927.99,2973.22,2924.02,2962.74,3893448300.0
2019-04-26,2892.86,2930.21,2892.53,2913.77,3656219700.0
2019-04-29,2939.41,2968.16,2899.83,2906.47,3924935500.0
2019-04-30,2945.24,2955.88,2919.49,2935.24,3212798300.0
2019-05-06,2805.04,2867.6,2768.8,2853.88,6243606300.0
2019-05-07,2806.26,2833.2,2777.73,2814.47,3541817700.0
2019-05-08,2758.24,2796.47,2750.93,2753.61,3039877200.0
2019-05-09,2698.78,2748.01,2686.47,2740.35,3075868100.0
2019-05-10,2793.76,2798.87,2698.81,2731.58,3945327800.0
2019-05-13,2741.11,2767.48,2736.84,2751.76,2659097100.0
2019-05-14,2724.73,2754.69,2716.73,2716.73,2622201800.0
2019-05-15,2783.54,2797.15,2743.78,2743.78,3071892000.0
2019-05-16,2791.41,2793.76,2766.15,2777.85,2894630200.0
2019-05-17,2735.21,2792.51,2728.93,2792.08,3007206300.0
2019-05-20,2715.43,2746.66,2697.61,2726.07,3120264600.0
2019-05-21,2739.79,2764.48,2712.04,2717.87,2696905100.0
2019-05-22,2725.73,2745.86,2714.65,2739.11,2316872900.0
2019-05-23,2685.93,2713.94,2679.54,2710.57,2781015600.0
2019-05-24,2702.03,2722.34,2692.53,2693.88,2123707600.0
2019-05-27,2722.33,2731.3,2667.38,2696.26,2724384800.0
2019-05-28,2748.8,2759.78,2716.31,2719.06,3467005600.0
2019-05-29,2755.81,2780.31,2724.85,2728.44,2494085700.0
2019-05-30,2742.96,2752.69,2721.88,2748.43,2439840500.0
2019-05-31,2728.95,2762.39,2728.95,2740.3,2218815200.0
2019-06-03,2743.06,2762.08,2723.93,2737.81,2709222000.0
2019-06-04,2721.31,2746.51,2713.8,2744.7,2227583200.0
2019-06-05,2719.59,2747.23,2717.93,2741.94,2576625300.0
2019-06-06,2706.76,2727.7,2701.92,2727.7,2139031200.0
2019-06-10,2743.37,2752.88,2712.16,2717.91,2708808100.0
2019-06-11,2812.9,2816.99,2750.54,2750.54,4085031500.0
2019-06-12,2796.73,2805.01,2790.18,2802.53,2644523000.0
2019-06-13,2794.54,2804.76,2771.86,2798.02,2345288700.0
2019-06-14,2785.61,2816.18,2781.72,2798.4,2612483000.0
2019-06-17,2793.7,2813.45,2785.47,2785.47,2047785100.0
2019-06-18,2806.45,2809.87,2785.38,2800.83,2167640400.0
2019-06-19,2842.74,2879.23,2842.42,2872.07,4116011000.0
2019-06-20,2942.63,2954.03,2846.44,2847.32,5736036900.0
2019-06-21,2938.77,2958.23,2929.9,2939.65,4656020500.0
2019-06-24,2949.52,2958.02,2931.67,2942.51,2901601800.0
2019-06-25,2910.12,2946.71,2875.37,2946.02,3816559500.0
2019-06-26,2903.49,2915.24,2891.0,2896.76,2402466000.0
2019-06-27,2937.13,2952.91,2914.96,2917.2,3347248700.0
