,close,high,low,open,volume
2018-08-13,3390.34,3396.19,3336.7,3369.98,7619153200.0
2018-08-14,3372.91,3391.73,3356.61,3386.48,6065144600.0
2018-08-15,3291.98,3372.14,3288.71,3371.96,6817405500.0
2018-08-16,3276.73,3315.2,3231.56,3251.86,7654736600.0
2018-08-17,3229.62,3311.57,3224.1,3305.9,6739541300.0
2018-08-20,3267.25,3267.25,3209.01,3238.22,7090422800.0
2018-08-21,3326.65,3331.71,3270.03,3271.84,7520558300.0
2018-08-22,3307.95,3328.97,3299.39,3328.97,5078705700.0
2018-08-23,3320.03,3336.11,3285.81,3308.46,6111233400.0
2018-08-24,3325.33,3353.04,3291.87,3308.48,6376589700.0
2018-08-27,3406.57,3406.57,3339.26,3339.39,9427008200.0
2018-08-28,3400.17,3416.59,3388.81,3408.15,7544536300.0
2018-08-29,3386.57,3398.71,3377.12,3393.05,6702040400.0
2018-08-30,3351.09,3402.56,3349.47,3385.81,6838529000.0
2018-08-31,3334.5,3356.58,3310.87,3333.38,7620563000.0
2018-09-03,3321.82,3325.61,3291.78,3320.69,6642985500.0
2018-09-04,3363.9,3370.96,3307.96,3324.19,6708880700.0
2018-09-05,3298.14,3354.2,3298.14,3349.7,6430188800.0
2018-09-06,3262.88,3311.5,3253.76,3286.66,6230028800.0
2018-09-07,3277.64,3316.61,3253.72,3273.89,6394740800.0
2018-09-10,3230.07,3277.88,3227.85,3271.38,6381705100.0
2018-09-11,3224.21,3245.62,3209.11,3229.71,5849130500.0
2018-09-12,3202.02,3225.6,3194.98,3216.99,5462789900.0
2018-09-13,3236.57,3249.59,3191.4,3239.69,6729032700.0
2018-09-14,3242.09,3254.1,3227.94,3242.83,6013064000.0
2018-09-17,3204.92,3230.79,3200.51,3224.93,5225954700.0
2018-09-18,3269.43,3270.11,3193.64,3193.64,7042503500.0
2018-09-19,3312.48,3335.99,3258.31,3262.0,8917066600.0
2018-09-20,3310.13,3332.31,3303.07,3314.88,6456105700.0
2018-09-21,3410.49,3410.49,3307.77,3320.7,10841600500.0
2018-09-25,3379.8,3394.38,3367.03,3375.97,6905469300.0
2018-09-26,3417.24,3448.26,3383.24,3388.56,9317334300.0
2018-09-27,3403.59,3423.71,3394.73,3415.95,6976524100.0
2018-09-28,3438.86,3444.99,3404.7,3409.96,8437775600.0
2018-10-08,3290.9,3364.46,3285.25,3361.56,9788898900.0
2018-10-09,3288.69,3309.8,3276.13,3290.17,6672327400.0
2018-10-10,3281.6,3315.73,3256.58,3295.43,6449282800.0
2018-10-11,3124.11,3209.52,3099.04,3179.54,12094134200.0
2018-10-12,3170.73,3184.12,3094.97,3123.37,9861115100.0
2018-10-15,3126.45,3183.13,3120.23,3173.85,6960502300.0
2018-10-16,3100.97,3166.09,3089.37,3128.58,6888772100.0
2018-10-17,3118.25,3149.13,3062.55,3140.68,7683713800.0
2018-10-18,3044.39,3097.79,3043.38,3097.79,7377196800.0
2018-10-19,3134.95,3137.75,3009.5,3017.75,9883968800.0
2018-10-22,3270.27,3297.38,3159.56,3159.56,14586204500.0
2018-10-23,3183.43,3276.02,3163.57,3273.13,12101324100.0
2018-10-24,3188.2,3245.4,3164.29,3169.46,11090974400.0
2018-10-25,3194.31,3197.32,3099.89,3107.84,10695181700.0
2018-10-26,3173.64,3218.1,3151.92,3204.28,10129935400.0
2018-10-29,3076.89,3158.81,3062.58,3157.49,9183978900.0
2018-10-30,3110.26,3146.63,3050.77,3061.93,11607010100.0
2018-10-31,3153.82,3168.92,3106.03,3116.66,11120745500.0
2018-11-01,3177.03,3217.8,3173.1,3185.2,13265337900.0
2018-11-02,3290.25,3290.25,3222.44,3258.61,15346610400.0
2018-11-05,3262.84,3279.88,3230.36,3269.47,10970668300.0
2018-11-06,3243.15,3254.98,3213.89,3254.98,8386913800.0
2018-11-07,3221.91,3270.5,3218.42,3243.88,9161552800.0
2018-11-08,3212.77,3253.57,3207.71,3251.73,7641454000.0
2018-11-09,3167.44,3193.3,3166.31,3193.3,8428276200.0
2018-11-12,3205.14,3206.51,3152.44,3160.25,8806239100.0
2018-11-13,3237.38,3254.77,3161.1,3164.92,12649346400.0
2018-11-14,3204.94,3239.24,3200.23,3233.64,11380865900.0
2018-11-15,3242.37,3242.38,3198.78,3201.28,9855881000.0
2018-11-16,3257.67,3282.39,3223.72,3242.88,12687683500.0
2018-11-19,3294.6,3294.6,3251.07,3258.79,11595659500.0
2018-11-20,3218.41,3278.78,3213.68,3268.08,10936115400.0
2018-11-21,3226.49,3230.26,3185.24,3187.1,8411972600.0
2018-11-22,3214.43,3235.45,3199.7,3232.97,6509829100.0
2018-11-23,3143.48,3212.2,3139.39,3208.59,8463825500.0
2018-11-26,3141.24,3169.44,3131.64,3148.67,5937914000.0
2018-11-27,3137.24,3162.01,3126.29,3152.77,5540783200.0
2018-11-28,3178.93,3179.41,3126.62,3137.75,7488195500.0
2018-11-29,3137.65,3204.86,3137.65,3198.83,8049846600.0
2018-11-30,3172.69,3175.15,3132.42,3136.2,7092104400.0
2018-12-03,3260.95,3273.64,3228.36,3260.69,12148715700.0
2018-12-04,3267.71,3267.94,3243.7,3256.23,7941503900.0
2018-12-05,3252.0,3266.9,3219.98,3224.26,7615305200.0
2018-12-06,3181.67,3223.52,3179.89,3218.11,7632877100.0
2018-12-07,3181.56,3193.82,3176.71,3187.49,5336192400.0
2018-12-10,3144.76,3170.15,3134.38,3153.52,6343727300.0
2018-12-11,3159.82,3161.96,3143.61,3148.23,5322387700.0
2018-12-12,3170.61,3182.21,3160.28,3181.57,5330991400.0
2018-12-13,3219.69,3234.08,3169.42,3178.89,9044275500.0
2018-12-14,3165.91,3210.72,3165.91,3207.35,8430125000.0
2018-12-17,3161.2,3167.51,3134.37,3158.28,6649700700.0
2018-12-18,3128.43,3165.0,3114.47,3139.95,6382031900.0
2018-12-19,3091.13,3137.01,3086.76,3133.74,5552229900.0
2018-12-20,3067.42,3097.72,3044.29,3083.54,6974946300.0
2018-12-21,3029.4,3057.4,3007.61,3055.33,7675810100.0
2018-12-24,3038.2,3040.35,3007.33,3015.5,5729961500.0
2018-12-25,3017.28,3030.14,2964.88,3006.88,7868942500.0
2018-12-26,3002.03,3029.06,2996.48,3012.87,5564703200.0
2018-12-27,2990.51,3047.23,2990.51,3042.95,8054178500.0
2018-12-28,3010.65,3024.35,2984.82,2994.8,7105377900.0
2019-01-02,2969.54,3018.78,2958.49,3017.07,6866302100.0
2019-01-03,2964.84,3000.44,2953.25,2963.02,7086710300.0
2019-01-04,3035.87,3036.81,2935.83,2940.19,10331897200.0
2019-01-07,3054.3,3061.75,3035.91,3055.15,10116435900.0
2019-01-08,3047.7,3055.51,3038.53,3049.87,8617058500.0
2019-01-09,3078.48,3117.96,3062.85,3065.23,10736435000.0
2019-01-10,3072.69,3092.54,3062.57,3077.48,8527175600.0
2019-01-11,3094.78,3102.83,3071.03,3082.26,7178642400.0
2019-01-14,3067.78,3097.41,3064.38,3092.5,6612170200.0
2019-01-15,3127.99,3129.37,3064.67,3071.52,8877296200.0
2019-01-16,3128.65,3135.01,3117.29,3126.13,8021434100.0
2019-01-17,3111.42,3141.71,3110.06,3132.63,8017487100.0
2019-01-18,3168.17,3171.69,3120.35,3124.5,10396383400.0
2019-01-21,3185.64,3199.21,3170.88,3170.88,9391502200.0
2019-01-22,3143.32,3181.95,3135.34,3181.95,7299052800.0
2019-01-23,3141.05,3157.63,3131.87,3136.1,5987047800.0
2019-01-24,3158.78,3165.63,3125.3,3146.6,7293463600.0
2019-01-25,3184.47,3203.17,3164.41,3165.18,8396772900.0
2019-01-28,3183.78,3228.87,3174.72,3203.12,8262243100.0
2019-01-29,3193.97,3200.99,3148.23,3177.26,7765833400.0
2019-01-30,3168.48,3202.9,3167.89,3181.66,6374651700.0
2019-01-31,3201.63,3216.07,3178.01,3182.7,8624783900.0
2019-02-01,3247.4,3247.5,3207.72,3225.73,8201964100.0
2019-02-11,3306.47,3307.06,3239.81,3239.81,9881843400.0
2019-02-12,3330.34,3335.36,3298.63,3306.35,12223246200.0
2019-02-13,3397.03,3405.58,3329.14,3337.78,16382833200.0
2019-02-14,3402.14,3415.4,3381.98,3392.85,15112729000.0
2019-02-15,3338.7,3395.03,3335.87,3391.24,14366860300.0
2019-02-18,3445.74,3445.74,3366.42,3366.42,18288608900.0
2019-02-19,3439.61,3480.79,3419.07,3454.72,17908378500.0
2019-02-20,3451.93,3463.77,3421.51,3449.93,14739031100.0
2019-02-21,3442.71,3500.25,3431.63,3450.14,18014328700.0
2019-02-22,3520.12,3520.12,3417.98,3439.38,18723797400.0
2019-02-25,3729.48,3729.48,3574.69,3575.85,34255712200.0
2019-02-26,3684.69,3762.11,3679.27,3734.71,35803869800.0
2019-02-27,3678.39,3737.63,3638.33,3682.81,28623600700.0
2019-02-28,3669.37,3695.46,3650.05,3675.26,18481022000.0
2019-03-01,3749.71,3749.71,3668.77,3699.22,20471100400.0
2019-03-04,3794.1,3886.58,3764.78,3783.04,32349012600.0
2019-03-05,3816.01,3816.16,3770.79,3785.38,23085316600.0
2019-03-06,3848.09,3855.16,3787.52,3822.86,31807737100.0
2019-03-07,3808.85,3845.18,3778.8,3841.15,32984654800.0
2019-03-08,3657.58,3774.54,3656.19,3721.4,31799007700.0
2019-03-11,3729.95,3731.91,3650.81,3663.98,23091286500.0
2019-03-12,3755.35,3804.72,3723.68,3758.32,27492638200.0
2019-03-13,3724.19,3763.09,3708.81,3758.71,23368224800.0
2019-03-14,3698.49,3747.82,3673.85,3710.29,19081723700.0
2019-03-15,3745.01,3782.24,3713.94,3713.94,17517454400.0
2019-03-18,3851.75,3851.75,3733.68,3753.64,21692806000.0
2019-03-19,3833.96,3868.34,3815.22,3856.59,18172711000.0
2019-03-20,3835.44,3855.15,3790.51,3825.34,17563209000.0
2019-03-21,3836.89,3864.07,3823.47,3840.28,19631031000.0
2019-03-22,3833.8,3845.58,3786.59,3838.13,17135699300.0
2019-03-25,3742.83,3807.18,3741.61,3776.44,19858632900.0
2019-03-26,3700.44,3770.84,3687.55,3766.53,17304657900.0
2019-03-27,3743.39,3750.26,3703.45,3724.41,13875845400.0
2019-03-28,3728.4,3755.72,3710.08,3731.06,13327212900.0
2019-03-29,3872.34,3876.38,3739.77,3739.77,21563910300.0
2019-04-01,3973.93,3982.91,3901.17,3901.17,27138270400.0
2019-04-02,3971.29,3988.1,3956.51,3986.34,22600034100.0
2019-04-03,4022.16,4026.5,3939.78,3947.87,23191736800.0
2019-04-04,4062.23,4072.11,4021.71,4039.74,26041093900.0
2019-04-08,4057.23,4122.6,4017.49,4097.1,26750557600.0
2019-04-09,4075.43,4084.24,4038.28,4063.81,18295680800.0
2019-04-10,4085.85,4115.38,4035.47,4062.44,19468761300.0
2019-04-11,3997.58,4097.12,3990.24,4083.46,16904964100.0
2019-04-12,3988.62,4006.93,3961.46,3986.78,13586211800.0
2019-04-15,3975.52,4085.39,3974.23,4056.49,18264557100.0
2019-04-16,4085.79,4085.79,3943.49,3958.1,20204196600.0
2019-04-17,4087.24,4106.62,4057.5,4080.72,18036711700.0
2019-04-18,4072.08,4094.05,4056.24,4085.11,14656212300.0
2019-04-19,4120.61,4120.64,4046.2,4076.3,15079491000.0
2019-04-22,4025.61,4126.09,4015.47,4125.97,18935374500.0
2019-04-23,4019.01,4061.09,4005.28,4021.63,15561165000.0
2019-04-24,4030.09,4044.34,3967.81,4033.63,14549869500.0
2019-04-25,3941.82,4022.56,3938.33,4013.6,15972207100.0
2019-04-26,3889.27,3943.83,3887.25,3921.89,14200806800.0
2019-04-29,3900.33,3953.23,3875.45,3896.58,15387092700.0
2019-04-30,3913.21,3923.11,3885.15,3887.18,11623337600.0
2019-05-06,3684.62,3791.61,3647.14,3775.08,19747288200.0
2019-05-07,3720.67,3738.18,3671.83,3702.27,13284765400.0
2019-05-08,3667.46,3722.93,3642.5,3648.55,11286735500.0
2019-05-09,3599.7,3656.9,3584.82,3637.35,10103739400.0
2019-05-10,3730.45,3732.92,3589.29,3643.06,14800384700.0
2019-05-13,3668.73,3702.9,3658.0,3675.76,10339186000.0
2019-05-14,3645.15,3683.26,3630.44,3630.44,10231346000.0
2019-05-15,3727.09,3741.04,3674.99,3674.99,11016176900.0
2019-05-16,3743.96,3745.14,3707.9,3720.04,11625827400.0
2019-05-17,3648.76,3745.36,3637.58,3744.88,12845324500.0
2019-05-20,3617.79,3644.5,3583.83,3635.74,10896347700.0
2019-05-21,3666.78,3690.09,3610.68,3619.44,11102292000.0
2019-05-22,3649.38,3679.27,3634.75,3663.15,9834612800.0
2019-05-23,3583.96,3631.47,3578.11,3629.53,9989778100.0
2019-05-24,3593.91,3623.39,3580.79,3584.9,8093404800.0
2019-05-27,3637.2,3648.03,3556.26,3592.6,10883087100.0
2019-05-28,3672.26,3683.23,3627.79,3633.02,11788624000.0
2019-05-29,3663.91,3693.23,3637.35,3642.54,9335544100.0
2019-05-30,3641.18,3650.97,3612.62,3648.85,9420256100.0
2019-05-31,3629.79,3668.18,3627.54,3641.0,8922226700.0
2019-06-03,3632.01,3672.81,3613.13,3640.61,10072318000.0
2019-06-04,3598.47,3636.13,3584.46,3632.56,8709709400.0
2019-06-05,3597.11,3634.45,3593.95,3627.79,8864202000.0
2019-06-06,3564.68,3601.04,3557.02,3601.04,8553440300.0
2019-06-10,3610.74,3623.73,3568.28,3578.01,9237506100.0
2019-06-11,3719.28,3723.14,3617.52,3617.52,14348280600.0
2019-06-12,3691.1,3711.88,3683.94,3706.86,11917885300.0
2019-06-13,3685.39,3697.59,3654.27,3689.58,9633171800.0
2019-06-14,3654.88,3709.65,3650.91,3690.48,10181700400.0
2019-06-17,3654.82,3683.77,3645.5,3654.44,7297667800.0
2019-06-18,3667.62,3675.65,3638.78,3661.13,7069226600.0
2019-06-19,3715.94,3771.35,3715.13,3761.34,12559571500.0
2019-06-20,3828.52,3845.79,3717.19,3718.94,16887207300.0
2019-06-21,3833.94,3856.09,3817.31,3832.73,15363515500.0
2019-06-24,3841.27,3853.55,3819.77,3836.31,10008462100.0
2019-06-25,3801.31,3838.06,3755.01,3837.43,12407591200.0
2019-06-26,3794.33,3809.76,3771.72,3779.51,8182028300.0
2019-06-27,3834.82,3854.08,3805.83,3807.54,10531635800.0
2019-06-28,3825.59,3835.23,3803.05,3832.06,8476613900.0
2019-07-01,3935.81,3936.67,3886.91,3899.33,15837034000.0
2019-07-02,3937.17,3942.43,3918.94,3931.05,13186349600.0
2019-07-03,3893.53,3927.44,3878.84,3927.44,11199260300.0
2019-07-04,3873.1,3906.89,3854.69,3895.2,9934225600.0
2019-07-05,3893.2,3900.31,3857.93,3875.37,7400652700.0
2019-07-08,3802.79,3875.75,3775.03,3875.75,10953908600.0
2019-07-09,3793.13,3811.1,3774.76,3798.1,7484273200.0
2019-07-10,3786.74,3810.4,3774.23,3807.95,7283394800.0
2019-07-11,3785.22,3830.74,3774.41,3806.19,7531196500.0
2019-07-12,3808.73,3820.24,3774.52,3783.07,7546596700.0
2019-07-15,3824.19,3844.87,3745.85,3792.64,10120522200.0
2019-07-16,3806.84,3828.33,3799.87,3819.25,8073095200.0
2019-07-17,3804.64,3820.27,3787.9,3800.11,9518388500.0
2019-07-18,3768.4,3793.39,3768.0,3793.19,8749644500.0
2019-07-19,3807.96,3828.15,3787.51,3787.51,8808614900.0
2019-07-22,3781.68,3816.54,3765.44,3813.5,9210137700.0
2019-07-23,3789.91,3792.96,3768.76,3783.54,7131334600.0
2019-07-24,3819.83,3840.06,3803.57,3803.59,9094068400.0
2019-07-25,3851.07,3851.07,3812.95,3821.39,9374041700.0
2019-07-26,3858.57,3863.59,3832.52,3835.23,8325930000.0
2019-07-29,3854.27,3862.75,3842.43,3857.94,8481437000.0
2019-07-30,3870.32,3890.73,3861.57,3861.57,9412395500.0
2019-07-31,3835.36,3856.74,3830.09,3856.74,8215115500.0
2019-08-01,3803.47,3831.26,3791.55,3819.32,8411418000.0
2019-08-02,3747.44,3754.53,3720.06,3729.13,10833589700.0
2019-08-05,3675.69,3739.5,3675.69,3724.41,10132598100.0
2019-08-06,3636.33,3649.9,3575.86,3609.11,12983387100.0
2019-08-07,3621.43,3659.08,3621.43,3654.63,8423871600.0
2019-08-08,3669.29,3675.46,3646.94,3651.36,8845770700.0
2019-08-09,3633.53,3689.18,3628.12,3686.75,8529558000.0
2019-08-12,3699.1,3699.1,3643.32,3647.87,8208305600.0
2019-08-13,3665.75,3686.43,3658.01,3675.59,7650030200.0
2019-08-14,3682.4,3717.56,3680.61,3712.07,9120259000.0
2019-08-15,3694.0,3694.3,3612.11,3618.01,8859883200.0
2019-08-16,3710.54,3738.1,3687.08,3697.94,8831916900.0
2019-08-19,3791.09,3791.09,3720.69,3736.03,13932701300.0
2019-08-20,3787.73,3799.9,3778.73,3786.03,10860208800.0
2019-08-21,3781.76,3792.6,3775.45,3778.31,8229988000.0
2019-08-22,3793.51,3797.33,3771.2,3793.86,8580779200.0
2019-08-23,3820.86,3829.36,3788.03,3796.88,8795458300.0
2019-08-26,3765.91,3778.87,3753.16,3756.36,9385926900.0
2019-08-27,3816.95,3848.24,3790.87,3791.46,12473147800.0
2019-08-28,3802.58,3822.59,3790.14,3818.81,8875081200.0
2019-08-29,3790.19,3808.6,3774.4,3805.49,8408338700.0
2019-08-30,3799.59,3828.97,3778.92,3816.68,9669515000.0
2019-09-02,3848.32,3855.78,3799.82,3803.69,11028934900.0
2019-09-03,3853.61,3856.68,3833.76,3852.58,9771463100.0
2019-09-04,3886.0,3886.0,3846.42,3848.65,12662861500.0
2019-09-05,3925.32,3970.0,3909.21,3909.21,18165623100.0
2019-09-06,3948.51,3948.54,3922.34,3946.69,12188237600.0
2019-09-09,3972.95,3985.24,3954.88,3980.96,14680975400.0
2019-09-10,3959.27,3976.92,3938.74,3976.87,13088938600.0
2019-09-11,3930.1,3971.22,3922.95,3969.68,13159487500.0
2019-09-12,3972.38,3975.93,3933.44,3944.69,11024127300.0
2019-09-16,3957.72,3982.2,3943.37,3981.36,11025980500.0
2019-09-17,3891.22,3947.16,3879.49,3947.16,11369431700.0
2019-09-18,3910.08,3923.15,3902.51,3902.99,8205615200.0
2019-09-19,3924.38,3924.38,3897.07,3923.96,8598423800.0
2019-09-20,3935.65,3942.22,3921.41,3933.46,10345595500.0
2019-09-23,3890.66,3925.19,3868.21,3925.19,9403622500.0
2019-09-24,3901.08,3927.01,3886.14,3895.87,8778323000.0
2019-09-25,3870.98,3889.84,3867.23,3887.55,8952083500.0
2019-09-26,3841.14,3890.75,3840.25,3884.7,10269830100.0
2019-09-27,3852.65,3859.5,3832.25,3843.46,7400394700.0
2019-09-30,3814.53,3857.23,3813.55,3842.07,6593131300.0
2019-10-08,3837.68,3861.64,3818.59,3818.59,7665786000.0
